tconst	averageRating	numVotes
tt10276160	4.8	149
tt10276470	6.1	10565
tt10278136	4.8	10
tt10278276	4.4	31
tt10278294	3.6	8
tt10278386	4.2	127
tt10279092	7.1	26
tt10279104	5.9	16
tt10279362	6.0	2762
tt10280220	6.8	324
tt10281468	2.3	29
tt10283234	8.5	8
tt10283960	6.3	60
tt10286140	6.4	110
tt10286746	4.9	66
tt10287376	5.9	588
tt10287616	5.8	148
tt10288320	6.2	160
tt10288566	7.8	84568
tt10290062	7.0	167
tt10290510	7.9	10
tt10290998	7.0	94
tt10291544	5.2	590
tt10292050	5.9	251
tt10293074	6.0	52
tt10294052	4.4	85
tt10294458	7.7	18
tt10294858	7.6	494
tt10295074	6.7	141
tt10295106	1.6	16
tt10295824	3.9	81
tt10295834	5.9	39
tt10297320	3.9	273
tt10298052	4.1	21
tt10298454	6.2	223
tt10299932	3.3	6
tt10300570	8.3	28
tt10300646	2.5	6
tt10300674	5.2	131
tt10301262	5.6	21
tt10303430	5.5	6091
tt10303954	6.3	227
tt10305920	8.8	17
tt10306516	7.4	85
tt10307786	4.8	20
tt10307856	4.6	536
tt10307922	6.0	129
tt10308538	7.0	104
tt10308674	4.2	23
tt10308998	7.4	14
tt10309218	5.7	195
tt10309362	4.8	12
tt10309552	5.4	3268
tt10309574	6.6	290
tt10309906	5.8	8219
tt10310222	6.4	1401
tt10311018	7.9	85
tt10312990	8.1	15
tt10313694	8.7	20
tt10313748	7.0	55
tt10314344	8.6	40
tt10314526	6.6	7
tt10315070	6.1	21
tt10315082	4.2	91
tt10318332	7.1	805
tt10318440	5.3	111
tt10320050	7.1	4713
tt10320120	5.5	6
tt10321138	2.5	21
tt10322278	5.4	14
tt10322726	5.8	103
tt10324148	5.8	31
tt10324444	6.6	28
tt10324680	4.5	39
tt10325662	7.9	8
tt10327130	8.6	22
tt10327136	6.3	125
tt10328288	7.0	8
tt10328320	4.8	117
tt10328906	7.0	7
tt10329022	5.7	41
tt10329084	6.1	385
tt10329134	7.3	4045
tt10329566	5.8	2227
tt10331100	5.9	9
tt10332272	7.4	12
tt10332428	4.6	74
tt10332672	5.9	1383
tt10333426	5.3	13447
tt10333606	5.7	201
tt10333912	6.3	11372
tt10334148	5.4	3783
tt10334286	6.9	31
tt10338208	5.9	13
tt10338808	4.2	113
tt10339232	4.1	17
tt10340452	6.2	140
tt10340460	5.2	589
tt10340618	6.0	175
tt10340748	5.9	64
tt10340820	6.5	39
tt10341034	7.3	38
tt10341190	6.4	12
tt10342190	5.8	5
