**movies.txt** \- Contains the following information for titles:

-   tconst (string) - alphanumeric unique identifier of the title
-   primaryTitle (string) the more popular title / the title used by the filmmakers on promotional materials at the point of release
-   startYear (YYYY) represents the release year of a title. In the case of TV Series, it is the series start year
-   genre1-genre3 includes up to three genres associated with the title

tconst	primaryTitle	startYear	genre1	genre2	genre3
tt10073630	Kuvana	2019	Drama		
tt10074426	Last Fool Show	2019	Comedy	Romance	
tt10074486	Vortex	2019	Drama		
tt10074536	Liberation	2019	Drama	War	
tt10074700	The Soul is What Remains	2019	Drama		
tt10075442	Classic Again	2020	Drama	Romance	
tt10075604	Taxi, What's Your Name?	2016	Comedy	Drama	Romance
tt10075748	Brother's Good Wife	2018	Drama	Romance	
tt10075912	Mooga Manasulu	2019	Romance		
tt10076106	Manmadhudu 2	2019	Comedy	Drama	Romance
tt10076184	3 Is a Crowd	2017	Drama		
tt10076760	Homicidal Hollywood Babes	2019	Comedy		
tt10077042	Single & Ready	2019	Romance		
tt10077090	Verano no miente	2018	Comedy	Romance	
tt10077134	Csak még egyszer elöre	2016	Drama	History	War
tt10077544	Rosa's Wedding	2020	Comedy	Romance	
tt10077598	The Girl From Future	2017	Comedy	Drama	Fantasy
tt10077998	The Unknown Saint	2019	Comedy	Crime	
tt10078132	Pansamantagal	2019	Comedy	Romance	
tt10078138	11 Hopes	2018	Drama	Sport	
tt10078326	Come to Me Miss Ripples	2019	Comedy		
tt10078450	Papa Pogi	2019	Comedy		
tt10078676	49 Days 2	2017	Comedy	Drama	Romance
tt10078764	Until You	2016	Comedy	Drama	Romance
tt10078822	Here Comes the Sun	2018	Drama	Family	
tt10078900	Freej Al Taibeen	2018	Comedy		
tt10079310	A Passagem das Horas	2019	Drama		
tt10079448	In a Silent Way	2020	Comedy		
tt10079796	The Wasteland of Education	2021	Drama	Music	
tt10079798	Bingo	2017	Drama		
tt10080052	Liza's Tale	2019	Drama		
tt10080062	Bernard	2019	Drama		
tt10080086	August Never Ends	2021	Drama		
tt10080092	Wild Grass	2020	Drama	Romance	
tt10080270	Killing Sarai	2019	Romance	Thriller	
tt10080834	Yêu Em Bât Châp	2018	Comedy	Romance	
tt10080924	Sweater	2019	Drama		
tt10080996	Gujarat 11	2019	Drama	Sport	
tt10081104	Gidarh Singhi	2019	Comedy		
tt10081116	Kobbari Matta	2019	Comedy		
tt10081134	Saaral	2019	Drama		
tt10081154	Maanasi	2019	Drama		
tt10081162	Kabilavasthu	2019	Drama		
tt10081166	Vilambaram	2019	Drama		
tt10081172	15 Lakh Kado Aauga	2019	Comedy		
tt10081202	Evvarikee Cheppoddu	2019	Drama		
tt10081210	Aaviri	2019	Drama	Thriller	
tt10081238	Malli Malli Chusa	2019	Drama		
tt10081286	The Return of Richard III on the 9:24 am Train	2019	Comedy	Drama	
tt10081402	Tandav	2019	Drama		
tt10081574	Unexpected Reunion	2019	Drama		
tt10081596	Flat Earth: To the Edge and Back	2019	Comedy		
tt10081762	Breaking Surface	2020	Drama	Thriller	
tt10081788	Paradise	2020	Drama		
tt10083094	The Call of Destiny	2019	Comedy	Romance	
tt10083612	Cut the Painter	2022	Drama		
tt10083640	Bhoot police	2021	Comedy		
tt10083868	Bole Chudiyan	2021	Comedy	Drama	Romance
